:Arabidopsis_lyrata_negative
:centroid_mass	total_ion_count
136.5488	2.813e1
136.5817	2.015e1
136.6584	3.807e1
136.6858	1.921e1
136.7132	1.939e1
136.7515	6.231e0
136.7899	5.596e1
136.8502	3.513e1
136.8886	1.490e1
136.9215	3.174e1
136.9489	3.585e1
137.0257	7.892e2
137.1190	1.430e1
137.1520	1.396e1
137.1849	1.272e1
137.2233	5.003e1
137.3826	1.800e1
137.4156	6.112e0
137.5090	1.040e1
137.5585	1.234e1
137.5914	6.888e0
137.6189	1.768e1
137.7840	7.973e0
137.9215	2.870e2
138.0206	1.689e2
138.1473	7.016e0
138.2796	1.852e1
138.3071	1.320e1
138.3512	5.098e0
138.9197	9.212e0
139.0025	1.362e2
139.1463	4.450e0
139.6443	9.678e0
139.9325	4.419e1
139.9658	1.804e0
140.0046	5.221e1
140.0379	8.470e0
140.0712	4.488e1
140.4431	4.595e0
140.9212	4.769e1
140.9546	1.024e1
141.0158	1.176e2
141.0715	3.169e1
141.3500	7.587e0
142.0474	1.345e2
142.0977	6.175e0
142.5842	4.573e0
142.6122	2.527e0
142.9987	1.150e3
143.1109	5.272e1
143.4418	3.037e0
143.8464	1.703e1
143.8745	2.573e1
143.9307	2.991e1
144.0094	1.148e2
144.0432	1.921e2
144.1051	1.825e1
144.1332	2.306e1
144.1613	1.143e1
144.1951	6.323e0
144.2232	6.395e0
144.2739	1.524e1
144.3246	1.613e1
144.3528	8.987e0
144.3865	2.642e1
144.4316	2.783e1
144.5049	2.066e1
144.5556	9.085e0
144.5894	1.875e1
144.6232	8.761e0
144.6908	3.259e1
144.7698	5.451e1
144.8093	4.401e1
144.8487	4.579e1
144.8882	8.533e1
144.9616	1.386e2
145.0124	6.830e2
145.0632	8.797e3
145.1592	4.481e1
145.2213	2.052e1
145.2778	2.085e1
145.3061	1.856e1
145.3513	2.438e1
145.4021	3.458e1
145.4304	2.264e1
145.4643	3.371e1
145.5039	3.804e1
145.5322	4.962e1
145.5774	3.137e1
145.6057	2.475e1
145.6622	9.143e1
145.7132	5.084e1
145.7867	5.695e1
145.8263	8.464e1
145.8660	3.734e1
145.8943	5.914e1
145.9509	9.815e2
146.0472	1.157e4
146.1492	2.854e1
146.2001	1.803e1
146.2398	2.132e1
146.2852	2.872e1
146.3362	3.734e1
146.3702	3.051e1
146.4269	7.846e0
146.4610	2.985e1
146.5120	2.542e1
146.5858	7.011e1
146.6539	3.300e1
146.6823	3.115e1
146.7277	2.769e1
146.7618	4.071e1
146.8299	5.312e1
146.8640	3.355e1
146.9663	3.578e3
147.0401	1.856e3
147.1425	1.768e1
147.1823	1.708e1
147.2221	1.999e1
147.2847	2.507e1
147.3359	1.747e1
147.5009	9.087e0
147.5578	8.641e0
147.6262	3.080e1
147.6774	1.724e1
147.7230	9.827e0
147.7515	1.491e1
147.8028	9.350e0
147.8598	1.952e1
147.9054	1.928e1
147.9567	2.564e2
148.0422	2.594e2
148.1335	4.265e0
148.1620	6.265e0
148.2190	1.690e1
148.3161	9.765e0
148.3903	8.359e0
148.4417	1.119e1
148.5045	2.131e1
148.5902	1.674e1
148.6588	7.154e0
148.7617	1.469e1
148.8303	1.333e1
148.8818	8.943e0
148.9676	2.379e3
149.0419	4.692e2
149.2537	1.038e1
149.4943	8.575e0
149.6434	8.695e0
149.9704	3.180e2
150.0393	7.037e1
150.0967	4.015e0
150.9709	3.759e2
151.0400	5.437e2
151.7898	2.623e0
152.0440	7.770e1
152.9992	3.718e2
154.0213	3.114e1
154.0562	4.265e1
154.9068	6.858e1
